1,1
2,2
3,3
4,4
4,5
4,6
4,7
5,8
6,9
7,10
8,1
9,8
10,8
11,11
12,12
13,13
14,13
15,4
15,5
15,6
15,7
16,14
17,15
18,2
19,1
20,15
21,14
22,5
23,8
24,16
25,8
26,17
27,18
28,12
29,8
30,12
31,1
32,12
33,2
34,2
35,12
36,9
37,14
38,12
39,11
40,8
41,13
34,14
42,8
43,16
44,1
45,8
46,8
17,19
47,5
48,12
49,10
50,13
51,12
52,8
53,20
54,19
55,1
56,11
57,19
58,8
59,11
60,9
61,19
62,19
63,12
64,5
65,8
66,3
67,12
36,13
68,3
60,16
69,19
70,8
71,16
72,15
73,1
74,16
75,3
76,8
77,20
78,12
79,15
80,13
81,13
82,11
83,11
84,21
85,8
86,2
87,13
88,1
21,2
89,14
90,5
91,16
92,1
93,19
94,8
95,12
96,5
97,8
98,16
99,13
100,8
101,19
102,19
103,3
104,8
105,13
106,1
107,1
108,12
109,22
110,8
111,8
112,10
113,8
114,19
115,15
116,1
117,16
118,9
119,11
120,23
121,10
122,1
123,12
124,20
125,19
126,24
127,8
128,8
129,12
127,15
130,8
131,9
132,3
133,8
134,1
135,15
136,8
137,16
138,8
139,19
120,25
8,20
140,19
141,1
142,2
143,16
144,8
145,18
146,16
147,20
148,16
149,12
150,3
151,8
152,20
153,8
154,11
155,14
156,8
157,8
158,8
159,8
160,11
161,16
162,8
163,10
164,12
165,8
166,8
60,12
167,8
168,8
169,12
17,2
170,8
171,8
172,8
173,12
174,10
175,8
176,3
177,26
178,4
178,5
178,6
178,7
179,20
180,20
181,16
182,1
183,8
184,19
185,12
91,8
186,10
187,19
188,8
189,13
190,8
191,1
192,8
193,19
194,10
195,8
196,4
196,5
196,6
196,7
197,8
198,27
199,19
200,12
201,9
202,5
203,1
204,1
205,12
206,15
207,28
207,29
207,30
128,15
208,15
209,8
210,13
211,20
212,8
213,15
214,8
215,12
216,1
124,3
217,1
218,20
219,8
220,16
49,8
221,8
222,5
223,20
224,12
199,8
225,1
226,8
135,13
76,5
227,13
228,8
229,9
230,8
231,1
232,8
233,16
234,11
235,20
236,13
237,13
238,5
239,8
240,31
241,10
242,8
243,1
112,20
244,1
245,8
246,28
246,29
246,30
131,20
247,5
248,10
249,1
250,12
251,14
252,19
253,8
186,20
254,13
255,8
256,1
257,20
258,8
259,5
260,8
261,13
195,13
262,12
263,16
264,15
265,12
266,19
267,10
268,8
269,1
270,5
271,3
69,20
272,20
273,16
274,13
275,8
276,13
277,8
278,8
279,2
280,8
281,19
282,4
282,5
282,6
282,7
283,4
283,5
283,6
283,7
284,8
285,16
286,12
287,13
288,20
289,1
290,8
291,1
292,1
293,16
294,8
295,8
296,15
297,1
298,1
299,15
300,3
301,8
302,4
302,5
302,6
302,7
303,16
304,11
305,16
306,12
307,12
308,11
309,8
310,1
311,12
312,10
313,16
314,8
315,8
196,8
316,13
317,15
318,4
318,5
318,6
318,7
319,15
320,8
321,13
7,1
322,8
323,13
324,20
325,8
326,16
327,15
328,8
329,8
330,8
331,20
332,8
333,1
198,16
334,14
162,9
179,13
258,5
335,13
336,20
238,10
337,8
2,12
338,8
339,2
340,8
341,1
342,5
343,20
344,1
161,5
345,20
346,15
143,8
21,8
347,14
348,16
349,10
350,8
351,16
352,10
353,1
354,8
355,19
356,16
357,19
358,12
359,13
360,1
361,10
362,13
152,12
363,4
363,5
363,6
363,7
364,16
279,16
365,11
366,16
367,28
367,29
367,30
118,2
368,20
369,8
370,11
371,11
372,19
373,19
161,12
374,8
375,4
375,5
375,6
375,7
376,11
377,20
378,12
379,9
380,8
381,10
382,20
383,3
198,8
384,3
385,1
386,13
35,1
387,4
387,5
387,6
387,7
388,1
389,13
390,16
391,4
391,5
391,6
391,7
302,8
56,8
392,11
393,8
394,15
395,1
396,11
397,1
398,12
399,12
400,12
401,8
402,10
403,16
404,8
405,5
406,8
407,19
194,12
408,4
408,5
408,6
408,7
167,3
117,12
409,1
302,13
161,8
410,16
411,8
412,8
413,8
305,15
414,13
353,16
415,19
382,13
416,8
417,15
418,16
419,10
420,15
36,5
421,15
179,10
198,9
89,3
422,8
423,19
424,8
425,12
426,10
427,15
428,12
429,1
430,5
431,12
14,8
432,8
433,9
238,13
434,16
124,16
435,4
435,5
435,6
435,7
436,13
437,11
438,8
439,8
440,8
131,11
441,8
442,20
443,4
443,5
443,6
443,7
444,8
445,10
446,8
447,1
448,8
449,19
450,20
180,12
451,20
452,16
453,19
454,8
455,19
456,11
457,12
